数据源名称,数据源名称,数据库名称,表名称,分层,三级域,表中文名称,表描述,数据模型,负责人,业务负责,安全分级,重要等级,更新周期,更新方式,标签
doris,ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,dws,管理集成产品开发/管理产品开发/整机产品开发,应市项目按计划实施率明细表,项目明细含状态判定（结题/延期/暂停/终止/正常）,DUPLICATE,gongying2,luxinping,敏感级,,月,,
doris,ds_rd_rw,ads,ads_ipd_itd_project_impl_rate_result_dd,ads,管理集成产品开发/管理产品开发/整机产品开发,应市项目按计划实施率汇总表,按事业部×产品线+项目经理维度聚合的实施率,DUPLICATE,gongying2,luxinping,敏感级,,月,,
